,code,year,type,subtype,value
181,PUE,2016,direct,losses_from_crime,18690265578
182,QUE,2016,direct,losses_from_crime,4575044709
183,ROO,2016,direct,losses_from_crime,2442831008
184,SLP,2016,direct,losses_from_crime,2898434299
185,SIN,2016,direct,losses_from_crime,5502473480
186,SON,2016,direct,losses_from_crime,5692112088
187,TAB,2016,direct,losses_from_crime,3718688325
188,TAM,2016,direct,losses_from_crime,9398893339
189,TLA,2016,direct,losses_from_crime,2309354947
190,VER,2016,direct,losses_from_crime,11894898329
191,YUC,2016,direct,losses_from_crime,3093030316
192,ZAC,2016,direct,losses_from_crime,2707442813
65,AGU,2017,direct,protect_cost,2034421169
66,BCN,2017,direct,protect_cost,4792566507
67,BCS,2017,direct,protect_cost,1334854652
68,CAM,2017,direct,protect_cost,1172535791
69,COA,2017,direct,protect_cost,3648687155
70,COL,2017,direct,protect_cost,1072969283
71,CHP,2017,direct,protect_cost,4002483577
72,CHH,2017,direct,protect_cost,4350775645
73,DIF,2017,direct,protect_cost,24168247336
74,DUR,2017,direct,protect_cost,1347658409
75,GUA,2017,direct,protect_cost,10256823152
76,GRO,2017,direct,protect_cost,2532202599
77,HID,2017,direct,protect_cost,3026794980
78,JAL,2017,direct,protect_cost,12631269964
79,MEX,2017,direct,protect_cost,24858741531
80,MIC,2017,direct,protect_cost,5225432484
81,MOR,2017,direct,protect_cost,2954598001
82,NAY,2017,direct,protect_cost,865369657.8
83,NLE,2017,direct,protect_cost,9152440777
84,OAX,2017,direct,protect_cost,4286929692
85,PUE,2017,direct,protect_cost,5632856815
86,QUE,2017,direct,protect_cost,2697677317
87,ROO,2017,direct,protect_cost,2696193446
88,SLP,2017,direct,protect_cost,2728144687
89,SIN,2017,direct,protect_cost,3396263693
90,SON,2017,direct,protect_cost,4908390930
91,TAB,2017,direct,protect_cost,3811430092
92,TAM,2017,direct,protect_cost,3764566337
93,TLA,2017,direct,protect_cost,1174174118
94,VER,2017,direct,protect_cost,6257720974
95,YUC,2017,direct,protect_cost,2527506674
96,ZAC,2017,direct,protect_cost,1327374544
193,AGU,2017,direct,losses_from_crime,1938756817
194,BCN,2017,direct,losses_from_crime,6580146284
195,BCS,2017,direct,losses_from_crime,1410377589
196,CAM,2017,direct,losses_from_crime,1573712826
197,COA,2017,direct,losses_from_crime,5573507886
198,COL,2017,direct,losses_from_crime,1061058045
199,CHP,2017,direct,losses_from_crime,3628669616
200,CHH,2017,direct,losses_from_crime,4391643770
201,DIF,2017,direct,losses_from_crime,25718427033
202,DUR,2017,direct,losses_from_crime,1300877346
203,GUA,2017,direct,losses_from_crime,8356444869
204,GRO,2017,direct,losses_from_crime,5333598707
205,HID,2017,direct,losses_from_crime,3441310759
