state,Seguro,Inseguro
Aguascalientes,40.4,58.7
Baja California,27.1,71.8
Baja California Sur,35.8,63.6
Campeche,39.3,59.1
Coahuila de Zaragoza,49.2,49.8
Colima,26.4,73.2
Chiapas,33.9,64.6
Chihuahua,30.5,68.8
Ciudad de México,21.1,78.4
Durango,47.6,50.9
Guanajuato,16.3,82.7
Guerrero,24.4,74.0
Hidalgo,36.6,61.0
Jalisco,34.1,64.7
Estado de México,17.8,81.5
Michoacán de Ocampo,30.6,65.9
Morelos,21.4,77.7
Nayarit,31.0,67.6
Nuevo León,37.9,60.8
Oaxaca,40.7,58.8
Puebla,26.8,72.2
Querétaro,38.4,59.2
Quintana Roo,29.1,69.8
San Luis Potosí,27.1,71.9
Sinaloa,38.0,61.1
Sonora,33.8,65.7
Tabasco,12.1,86.6
Tamaulipas,26.1,73.6
Tlaxcala,36.5,62.6
Veracruz de Ignacio de la Llave,27.7,71.4
Yucatán,62.5,37.0
Zacatecas,24.5,75.2
