state,Seguro,Inseguro
Aguascalientes,54.6,43.2
Baja California,43.1,53.2
Baja California Sur,36.8,61.8
Campeche,42.2,53.7
Coahuila,21.8,74.9
Colima,42.5,56.5
Chiapas,39.2,54.6
Chihuahua,25.1,73.6
Distrito Federal,20.4,78.5
Durango,29.9,68
Guanajuato,31.1,64.8
Guerrero,11.5,86.8
Hidalgo,34.8,62.1
Jalisco,28.9,69.6
México,7.9,90.6
Michoacán,17.7,79.8
Morelos,12.3,86.3
Nayarit,40.1,55.5
Nuevo León,27.4,70.7
Oaxaca,19.8,77.7
Puebla,28.5,67.4
Querétaro,45.9,50.7
Quintana Roo,34.9,61
San Luis Potosí,27.9,69.2
Sinaloa,26.8,70.5
Sonora,36.6,62.5
Tabasco,10,88.9
Tamaulipas,11,86.9
Tlaxcala,39.6,59.2
Veracruz,17.6,80.5
Yucatán,65.1,33.8
Zacatecas,15.5,80.9
